team,sponsor,stage,counterfactual,baseline_roi,counterfactual_roi,roi_delta,roi_ci_low,roi_ci_high,method,reason
Croatia,Hisense,group_or_knockout,negative_news_shock,4.305,3.5301,-0.7749,3.1501,3.9101,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.305,3.7884,-0.5166,3.4684,4.1084,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.305,4.9077,0.6027,4.6477,5.1677,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.305,4.0037,-0.3013,3.7237,4.2837,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.305,4.6494,0.3444,4.3794,4.9194,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.305,3.5301,-0.7749,3.1501,3.9101,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Hungary,Adidas,tournament,player_absent,4.303,3.7866,-0.5164,3.4666,4.1066,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Hungary,Adidas,tournament,media_surge,4.303,4.9054,0.6024,4.6454,5.1654,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Hungary,Adidas,tournament,budget_cut,4.303,4.0018,-0.3012,3.7218,4.2818,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Hungary,Adidas,tournament,budget_increase,4.303,4.6472,0.3442,4.3772,4.9172,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Hungary,Adidas,tournament,negative_news_shock,4.303,3.5285,-0.7745,3.1485,3.9085,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
El Salvador,Budweiser,tournament,player_absent,4.303,3.7866,-0.5164,3.4666,4.1066,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
El Salvador,Budweiser,tournament,media_surge,4.303,4.9054,0.6024,4.6454,5.1654,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
El Salvador,Budweiser,tournament,budget_cut,4.303,4.0018,-0.3012,3.7218,4.2818,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
El Salvador,Budweiser,tournament,budget_increase,4.303,4.6472,0.3442,4.3772,4.9172,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
El Salvador,Budweiser,tournament,negative_news_shock,4.303,3.5285,-0.7745,3.1485,3.9085,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.295,3.7796,-0.5154,3.4596,4.0996,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.295,4.8963,0.6013,4.6363,5.1563,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.295,3.9944,-0.3006,3.7144,4.2744,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.295,4.6386,0.3436,4.3686,4.9086,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.295,3.5219,-0.7731,3.1419,3.9019,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Chile,Hisense,group_or_knockout,player_absent,4.295,3.7796,-0.5154,3.4596,4.0996,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Chile,Hisense,group_or_knockout,media_surge,4.295,4.8963,0.6013,4.6363,5.1563,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Chile,Hisense,group_or_knockout,budget_cut,4.295,3.9944,-0.3006,3.7144,4.2744,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Chile,Hisense,group_or_knockout,budget_increase,4.295,4.6386,0.3436,4.3686,4.9086,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Chile,Hisense,group_or_knockout,negative_news_shock,4.295,3.5219,-0.7731,3.1419,3.9019,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Cameroon,Hyundai,group_or_knockout,player_absent,4.29,3.7752,-0.5148,3.4552,4.0952,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Cameroon,Hyundai,group_or_knockout,media_surge,4.29,4.8906,0.6006,4.6306,5.1506,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Cameroon,Hyundai,group_or_knockout,budget_cut,4.29,3.9897,-0.3003,3.7097,4.2697,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Cameroon,Hyundai,group_or_knockout,budget_increase,4.29,4.6332,0.3432,4.3632,4.9032,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Cameroon,Hyundai,group_or_knockout,negative_news_shock,4.29,3.5178,-0.7722,3.1378,3.8978,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.29,3.7752,-0.5148,3.4552,4.0952,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.29,4.8906,0.6006,4.6306,5.1506,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.29,3.9897,-0.3003,3.7097,4.2697,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.29,4.6332,0.3432,4.3632,4.9032,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.29,3.5178,-0.7722,3.1378,3.8978,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,tournament,player_absent,4.288,3.7734,-0.5146,3.4534,4.0934,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,tournament,media_surge,4.288,4.8883,0.6003,4.6283,5.1483,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,tournament,budget_cut,4.288,3.9878,-0.3002,3.7078,4.2678,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,tournament,budget_increase,4.288,4.631,0.343,4.361,4.901,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,tournament,negative_news_shock,4.288,3.5162,-0.7718,3.1362,3.8962,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Romania,Qatar Airways,tournament,player_absent,4.288,3.7734,-0.5146,3.4534,4.0934,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Romania,Qatar Airways,tournament,media_surge,4.288,4.8883,0.6003,4.6283,5.1483,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Romania,Qatar Airways,tournament,budget_cut,4.288,3.9878,-0.3002,3.7078,4.2678,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Romania,Qatar Airways,tournament,budget_increase,4.288,4.631,0.343,4.361,4.901,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Romania,Qatar Airways,tournament,negative_news_shock,4.288,3.5162,-0.7718,3.1362,3.8962,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Poland,Coca-Cola,group_or_knockout,player_absent,4.284,3.7699,-0.5141,3.4499,4.0899,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Poland,Coca-Cola,group_or_knockout,media_surge,4.284,4.8838,0.5998,4.6238,5.1438,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Poland,Coca-Cola,group_or_knockout,budget_cut,4.284,3.9841,-0.2999,3.7041,4.2641,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Poland,Coca-Cola,group_or_knockout,budget_increase,4.284,4.6267,0.3427,4.3567,4.8967,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Poland,Coca-Cola,group_or_knockout,negative_news_shock,4.284,3.5129,-0.7711,3.1329,3.8929,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.284,3.7699,-0.5141,3.4499,4.0899,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.284,4.8838,0.5998,4.6238,5.1438,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.284,3.9841,-0.2999,3.7041,4.2641,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.284,4.6267,0.3427,4.3567,4.8967,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.284,3.5129,-0.7711,3.1329,3.8929,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,tournament,player_absent,4.28,3.7664,-0.5136,3.4464,4.0864,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,tournament,media_surge,4.28,4.8792,0.5992,4.6192,5.1392,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,tournament,budget_cut,4.28,3.9804,-0.2996,3.7004,4.2604,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,tournament,budget_increase,4.28,4.6224,0.3424,4.3524,4.8924,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,tournament,negative_news_shock,4.28,3.5096,-0.7704,3.1296,3.8896,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Serbia,Vivo,group_or_knockout,player_absent,4.28,3.7664,-0.5136,3.4464,4.0864,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Serbia,Vivo,group_or_knockout,media_surge,4.28,4.8792,0.5992,4.6192,5.1392,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Serbia,Vivo,group_or_knockout,budget_cut,4.28,3.9804,-0.2996,3.7004,4.2604,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Serbia,Vivo,group_or_knockout,budget_increase,4.28,4.6224,0.3424,4.3524,4.8924,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Serbia,Vivo,group_or_knockout,negative_news_shock,4.28,3.5096,-0.7704,3.1296,3.8896,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.28,3.7664,-0.5136,3.4464,4.0864,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.28,4.8792,0.5992,4.6192,5.1392,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.28,3.9804,-0.2996,3.7004,4.2604,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.28,4.6224,0.3424,4.3524,4.8924,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.28,3.5096,-0.7704,3.1296,3.8896,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Sweden,Budweiser,tournament,player_absent,4.28,3.7664,-0.5136,3.4464,4.0864,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Sweden,Budweiser,tournament,media_surge,4.28,4.8792,0.5992,4.6192,5.1392,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Sweden,Budweiser,tournament,budget_cut,4.28,3.9804,-0.2996,3.7004,4.2604,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Sweden,Budweiser,tournament,budget_increase,4.28,4.6224,0.3424,4.3524,4.8924,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Sweden,Budweiser,tournament,negative_news_shock,4.28,3.5096,-0.7704,3.1296,3.8896,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Russia,Hyundai,group_or_knockout,player_absent,4.278,3.7646,-0.5134,3.4446,4.0846,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Russia,Hyundai,group_or_knockout,media_surge,4.278,4.8769,0.5989,4.6169,5.1369,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Russia,Hyundai,group_or_knockout,budget_cut,4.278,3.9785,-0.2995,3.6985,4.2585,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Russia,Hyundai,group_or_knockout,budget_increase,4.278,4.6202,0.3422,4.3502,4.8902,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Russia,Hyundai,group_or_knockout,negative_news_shock,4.278,3.508,-0.77,3.128,3.888,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Saudi Arabia,Qatar Airways,group_or_knockout,player_absent,4.278,3.7646,-0.5134,3.4446,4.0846,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Saudi Arabia,Qatar Airways,group_or_knockout,media_surge,4.278,4.8769,0.5989,4.6169,5.1369,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Saudi Arabia,Qatar Airways,group_or_knockout,budget_cut,4.278,3.9785,-0.2995,3.6985,4.2585,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Saudi Arabia,Qatar Airways,group_or_knockout,budget_increase,4.278,4.6202,0.3422,4.3502,4.8902,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Saudi Arabia,Qatar Airways,group_or_knockout,negative_news_shock,4.278,3.508,-0.77,3.128,3.888,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Scotland,Adidas,tournament,player_absent,4.278,3.7646,-0.5134,3.4446,4.0846,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Scotland,Adidas,tournament,media_surge,4.278,4.8769,0.5989,4.6169,5.1369,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Scotland,Adidas,tournament,budget_cut,4.278,3.9785,-0.2995,3.6985,4.2585,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Scotland,Adidas,tournament,budget_increase,4.278,4.6202,0.3422,4.3502,4.8902,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Scotland,Adidas,tournament,negative_news_shock,4.278,3.508,-0.77,3.128,3.888,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,tournament,player_absent,4.278,3.7646,-0.5134,3.4446,4.0846,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,tournament,media_surge,4.278,4.8769,0.5989,4.6169,5.1369,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,tournament,budget_cut,4.278,3.9785,-0.2995,3.6985,4.2585,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,tournament,budget_increase,4.278,4.6202,0.3422,4.3502,4.8902,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,tournament,negative_news_shock,4.278,3.508,-0.77,3.128,3.888,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Russia,Hyundai,group_or_knockout,player_absent,4.276,3.7629,-0.5131,3.4429,4.0829,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Russia,Hyundai,group_or_knockout,media_surge,4.276,4.8746,0.5986,4.6146,5.1346,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Russia,Hyundai,group_or_knockout,budget_cut,4.276,3.9767,-0.2993,3.6967,4.2567,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Russia,Hyundai,group_or_knockout,budget_increase,4.276,4.6181,0.3421,4.3481,4.8881,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Russia,Hyundai,group_or_knockout,negative_news_shock,4.276,3.5063,-0.7697,3.1263,3.8863,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.276,3.7629,-0.5131,3.4429,4.0829,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.276,4.8746,0.5986,4.6146,5.1346,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.276,3.9767,-0.2993,3.6967,4.2567,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.276,4.6181,0.3421,4.3481,4.8881,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.276,3.5063,-0.7697,3.1263,3.8863,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.274,3.7611,-0.5129,3.4411,4.0811,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.274,4.8724,0.5984,4.6124,5.1324,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.274,3.9748,-0.2992,3.6948,4.2548,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.274,4.6159,0.3419,4.3459,4.8859,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.274,3.5047,-0.7693,3.1247,3.8847,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Sweden,Budweiser,group_or_knockout,player_absent,4.274,3.7611,-0.5129,3.4411,4.0811,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Sweden,Budweiser,group_or_knockout,media_surge,4.274,4.8724,0.5984,4.6124,5.1324,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Sweden,Budweiser,group_or_knockout,budget_cut,4.274,3.9748,-0.2992,3.6948,4.2548,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Sweden,Budweiser,group_or_knockout,budget_increase,4.274,4.6159,0.3419,4.3459,4.8859,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Sweden,Budweiser,group_or_knockout,negative_news_shock,4.274,3.5047,-0.7693,3.1247,3.8847,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Denmark,Adidas,group_or_knockout,player_absent,4.263,3.7514,-0.5116,3.4314,4.0714,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Denmark,Adidas,group_or_knockout,media_surge,4.263,4.8598,0.5968,4.5998,5.1198,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Denmark,Adidas,group_or_knockout,budget_cut,4.263,3.9646,-0.2984,3.6846,4.2446,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Denmark,Adidas,group_or_knockout,budget_increase,4.263,4.604,0.341,4.334,4.874,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Denmark,Adidas,group_or_knockout,negative_news_shock,4.263,3.4957,-0.7673,3.1157,3.8757,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.263,3.7514,-0.5116,3.4314,4.0714,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.263,4.8598,0.5968,4.5998,5.1198,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,group_or_knockout,budget_cut,4.263,3.9646,-0.2984,3.6846,4.2446,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,group_or_knockout,budget_increase,4.263,4.604,0.341,4.334,4.874,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,group_or_knockout,negative_news_shock,4.263,3.4957,-0.7673,3.1157,3.8757,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Cameroon,Hyundai,group_or_knockout,player_absent,4.262,3.7506,-0.5114,3.4306,4.0706,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Cameroon,Hyundai,group_or_knockout,media_surge,4.262,4.8587,0.5967,4.5987,5.1187,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Cameroon,Hyundai,group_or_knockout,budget_cut,4.262,3.9637,-0.2983,3.6837,4.2437,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Cameroon,Hyundai,group_or_knockout,budget_increase,4.262,4.603,0.341,4.333,4.873,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Cameroon,Hyundai,group_or_knockout,negative_news_shock,4.262,3.4948,-0.7672,3.1148,3.8748,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Russia,Hyundai,group_or_knockout,player_absent,4.262,3.7506,-0.5114,3.4306,4.0706,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Russia,Hyundai,group_or_knockout,media_surge,4.262,4.8587,0.5967,4.5987,5.1187,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Russia,Hyundai,group_or_knockout,budget_cut,4.262,3.9637,-0.2983,3.6837,4.2437,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Russia,Hyundai,group_or_knockout,budget_increase,4.262,4.603,0.341,4.333,4.873,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Russia,Hyundai,group_or_knockout,negative_news_shock,4.262,3.4948,-0.7672,3.1148,3.8748,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Peru,Budweiser,tournament,player_absent,4.257,3.7462,-0.5108,3.4262,4.0662,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Peru,Budweiser,tournament,media_surge,4.257,4.853,0.596,4.593,5.113,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Peru,Budweiser,tournament,budget_cut,4.257,3.959,-0.298,3.679,4.239,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Peru,Budweiser,tournament,budget_increase,4.257,4.5976,0.3406,4.3276,4.8676,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Peru,Budweiser,tournament,negative_news_shock,4.257,3.4907,-0.7663,3.1107,3.8707,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,tournament,player_absent,4.257,3.7462,-0.5108,3.4262,4.0662,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,tournament,media_surge,4.257,4.853,0.596,4.593,5.113,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,tournament,budget_cut,4.257,3.959,-0.298,3.679,4.239,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,tournament,budget_increase,4.257,4.5976,0.3406,4.3276,4.8676,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,tournament,negative_news_shock,4.257,3.4907,-0.7663,3.1107,3.8707,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,tournament,player_absent,4.253,3.7426,-0.5104,3.4226,4.0626,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,tournament,media_surge,4.253,4.8484,0.5954,4.5884,5.1084,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
Brazil,Adidas,tournament,budget_cut,4.253,3.9553,-0.2977,3.6753,4.2353,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
Brazil,Adidas,tournament,budget_increase,4.253,4.5932,0.3402,4.3232,4.8632,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
Brazil,Adidas,tournament,negative_news_shock,4.253,3.4875,-0.7655,3.1075,3.8675,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
New Zealand,McDonald's,tournament,player_absent,4.253,3.7426,-0.5104,3.4226,4.0626,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
New Zealand,McDonald's,tournament,media_surge,4.253,4.8484,0.5954,4.5884,5.1084,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
New Zealand,McDonald's,tournament,budget_cut,4.253,3.9553,-0.2977,3.6753,4.2353,SCM_synthetic_control_compatible_stress_test,Budget cut weakens activation reach and conversion quality.
New Zealand,McDonald's,tournament,budget_increase,4.253,4.5932,0.3402,4.3232,4.8632,SCM_synthetic_control_compatible_stress_test,Higher spend can lift ROI when brand fit and attention are strong.
New Zealand,McDonald's,tournament,negative_news_shock,4.253,3.4875,-0.7655,3.1075,3.8675,SCM_synthetic_control_compatible_stress_test,Negative sentiment compresses conversion despite exposure.
Brazil,Adidas,group_or_knockout,player_absent,4.25,3.74,-0.51,3.42,4.06,SCM_synthetic_control_compatible_stress_test,Core player absence lowers attention and performance confidence.
Brazil,Adidas,group_or_knockout,media_surge,4.25,4.845,0.595,4.585,5.105,SCM_synthetic_control_compatible_stress_test,Paid and earned media surge increases upside but adds volatility.
